trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99498743710662}",30,0,-111.31640139220369,"{0: 16, 1: 6, 2: 6, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-55.55324235554603,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9850375627355538}",20,0,-79.59550427105515,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9801}",20,0,-49.435350275465595,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9751871871081982}",20,1,-58.56100752318044,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.970299}",20,0,-114.49574358643707,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9654353152371162}",20,0,-82.44037022951385,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.96059601}",30,0,-187.5225696988704,"{0: 20, 1: 3, 2: 2, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.9557809620847451}",20,0,-89.10790540361762,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-114.4215452477976,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9462231524638975}",25,0,-128.45753069309515,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-171.27577847131948,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9367609209392586}",30,0,-134.72035909481136,"{0: 15, 1: 6, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-64.59407298381734,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.927393311729866}",25,0,-137.21416014905995,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,0,-80.324572967327,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9181193786125673}",25,10,-149.7503748335842,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 3}",1
18,False,"{'a': 0.5, 'e': 0.9135172474836408}",35,0,-130.22586687825753,"{0: 23, 1: 6, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9089381848264416}",20,0,-52.986550992262664,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,7,-19.86298607952788,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.8998488029781773}",25,1,-60.60886905221106,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-39.11257441000989,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.8908503149483954}",25,0,-146.5343524223508,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-81.88572472130939,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8819418117989115}",30,0,-124.93033325705774,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-125.55465815708578,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.8731223936809224}",25,0,-48.978008352115275,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-52.67943734407957,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.8643911697441131}",20,0,-97.51630766865831,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.8600583546412884}",25,0,-107.9259462184819,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.855747258046672}",35,0,-137.06666409863504,"{0: 25, 1: 2, 2: 5, 3: 1, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,0,-170.2182107198269,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.8471897854662053}",20,7,-29.79660752758119,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.8429431933839268}",35,9,-59.21062577595726,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 0}",1
