trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.94737221456052,"{0: 11, 1: 6, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.5052900926358,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.79832760611205,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.08900606158208,"{0: 13, 1: 5, 2: 4, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.7210751442429,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.00554268819245,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.0365834880519,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.28925033489998,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,4,-130.31123330121028,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 3}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,4,-40.98552153973684,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.15972288883248,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-84.24488818124111,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,3,-82.3305832327221,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.85443222403939,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.31637006323288,"{0: 11, 1: 3, 2: 8, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.2224864964266,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.51529326618922,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-29.462233498676323,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,4,-146.80548372483918,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 2}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.67518944487665,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-263.5212529944228,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-29.841661681440996,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.6639987055016,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-68.5550756245678,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.74796488143643,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.66779852692768,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-88.17676188141682,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-212.88692471691692,"{0: 19, 1: 4, 2: 7, 3: 3, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-96.66280805030748,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-74.47812331403138,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
